developer,model,base_quad,new_quad,rho_threshold,kappa_threshold
Alibaba,Qwen2.5-VL-7B-Instruct,Avoid,Stable,0.9,0.4
Anthropic,claude-3-7-sonnet-20250219,Stable,Ideal,0.9,0.4
DeepSeek,DeepSeek-V3,Stable,Ideal,0.9,0.4
Google,gemini-2.0-flash-thinking-exp,Controllable,Ideal,0.9,0.4
Google,gemini-2.5-flash-preview-04-17,Controllable,Ideal,0.9,0.4
OpenAI,gpt-4.1,Stable,Ideal,0.9,0.4
Alibaba,Qwen2.5-VL-7B-Instruct,Avoid,Stable,0.9,0.5
Google,gemini-2.0-flash-thinking-exp,Controllable,Ideal,0.9,0.5
Google,gemini-2.5-flash-preview-04-17,Controllable,Ideal,0.9,0.5
Alibaba,Qwen2.5-VL-7B-Instruct,Avoid,Stable,0.9,0.6
Anthropic,claude-3-haiku-20240307,Ideal,Stable,0.9,0.6
Google,gemini-2.0-flash-thinking-exp,Controllable,Stable,0.9,0.6
Google,gemini-2.5-flash-preview-04-17,Controllable,Stable,0.9,0.6
Google,gemini-2.5-pro-preview-03-25,Controllable,Avoid,0.9,0.6
Anthropic,claude-3-7-sonnet-20250219,Stable,Ideal,0.95,0.4
DeepSeek,DeepSeek-V3,Stable,Ideal,0.95,0.4
OpenAI,gpt-4.1,Stable,Ideal,0.95,0.4
Anthropic,claude-3-haiku-20240307,Ideal,Stable,0.95,0.6
Google,gemini-2.0-flash-thinking-exp,Controllable,Avoid,0.95,0.6
Google,gemini-2.5-flash-preview-04-17,Controllable,Avoid,0.95,0.6
Google,gemini-2.5-pro-preview-03-25,Controllable,Avoid,0.95,0.6
Anthropic,claude-3-7-sonnet-20250219,Stable,Ideal,0.98,0.4
DeepSeek,DeepSeek-V3,Stable,Ideal,0.98,0.4
OpenAI,gpt-4.1,Stable,Ideal,0.98,0.4
Anthropic,claude-3-haiku-20240307,Ideal,Stable,0.98,0.6
Google,gemini-2.0-flash-thinking-exp,Controllable,Avoid,0.98,0.6
Google,gemini-2.5-flash-preview-04-17,Controllable,Avoid,0.98,0.6
Google,gemini-2.5-pro-preview-03-25,Controllable,Avoid,0.98,0.6
